Renner	Prijs	Team	OML	KBK	SAM	STR	NOK	BKC	MSR	RVB	E3	IFF	DDV	RVV	SP	PR	RVL	BRP	AGR	WAP	LBL
VAN DER POEL Mathieu	14	Alpecin-Premier Tech	1	0	0	0	0	0	1	0	1	1	0	1	0	1	0	0	0	0	0
POGAČAR Tadej	14	UAE Team Emirates - XRG	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1
EVENEPOEL Remco	12	Red Bull - BORA - hansgrohe	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1
VAN AERT Wout	11	Team Visma | Lease a Bike	0	0	1	1	0	0	1	0	0	1	1	1	0	1	0	0	0	0	0
PEDERSEN Mads	10	Lidl - Trek	0	0	0	0	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0
PHILIPSEN Jasper	9	Alpecin-Premier Tech	1	1	0	0	1	0	1	1	0	1	1	0	1	1	0	0	0	0	0
PIDCOCK Thomas	8	Pinarello Q36.5 Pro Cycling Team	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1
MERLIER Tim	8	Soudal - Quick Step	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0
VINGEGAARD Jonas	8	Team Visma | Lease a Bike	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GANNA Filippo	7	INEOS Grenadiers	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0
DEL TORO Isaac	7	UAE Team Emirates - XRG	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MAGNIER Paul	7	Soudal - Quick Step	1	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0
HEALY Ben	7	EF Education - EasyPost	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
MILAN Jonathan	7	Lidl - Trek	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0
SKJELMOSE Mattias	7	Lidl - Trek	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
