Naam,Ploeg,Prijs
Jhonatan Narvaez,UAE Team Emirates - XRG,7
Marc Soler,UAE Team Emirates - XRG,7
Jay Vine,UAE Team Emirates - XRG,6
Adam Yates,UAE Team Emirates - XRG,10
Jan Christen,UAE Team Emirates - XRG,5
Antonio Morgado,UAE Team Emirates - XRG,6
Igor Arrieta,UAE Team Emirates - XRG,4
Joao Almeida,UAE Team Emirates - XRG,9
Wilco Kelderman,Team Visma | Lease a Bike,6
Edoardo Affini,Team Visma | Lease a Bike,5
Bart Lemmen,Team Visma | Lease a Bike,4
Timo Kielich,Team Visma | Lease a Bike,5
Sepp Kuss,Team Visma | Lease a Bike,9
Victor Campenaerts,Team Visma | Lease a Bike,6
Davide Piganzoli,Team Visma | Lease a Bike,5
Jonas Vingegaard,Team Visma | Lease a Bike,12
Harold Martin Lopez,XDS Astana Team,4
Alberto Bettiol,XDS Astana Team,6
Lorenzo Fortunato,XDS Astana Team,5
Davide Ballerini,XDS Astana Team,5
Christian Scaroni,XDS Astana Team,5
Diego Ulissi,XDS Astana Team,6
Pascal Ackermann,Team Jayco AlUla,7
Luka Mezgec,Team Jayco AlUla,4
Koen Bouwman,Team Jayco AlUla,5
Alan Hatherly,Team Jayco AlUla,4
Ben O'Connor,Team Jayco AlUla,9
Filippo Conca,Team Jayco AlUla,3
Frederik Wandahl,Red Bull - BORA - hansgrohe,4
Ben Zwiehoff,Red Bull - BORA - hansgrohe,4
Danny van Poppel,Red Bull - BORA - hansgrohe,6
Aleksandr Vlasov,Red Bull - BORA - hansgrohe,8
Jai Hindley,Red Bull - BORA - hansgrohe,9
Giulio Pellizzari,Red Bull - BORA - hansgrohe,6
Damiano Caruso,Bahrain - Victorious,7
Afonso Eulalio,Bahrain - Victorious,4
Santiago Buitrago,Bahrain - Victorious,8
Alec Segaert,Bahrain - Victorious,5
Edoardo Zambanini,Bahrain - Victorious,5
Matevz Govekar,Bahrain - Victorious,5
James Knox,Team Picnic PostNL,4
Frank van den Broek,Team Picnic PostNL,5
Juan Guillermo Martinez,Team Picnic PostNL,4
Max Poole,Team Picnic PostNL,7
Casper van Uden,Team Picnic PostNL,6
Oliver Naesen,Decathlon CMA CGM Team,4
Tord Gudmestad,Decathlon CMA CGM Team,5
Tobias Lund Andresen,Decathlon CMA CGM Team,7
Gregor Muhlberger,Decathlon CMA CGM Team,5
Felix Gall,Decathlon CMA CGM Team,8
Juan Pedro Lopez,Movistar Team,6
Javier Romo,Movistar Team,4
Enric Mas,Movistar Team,9
Nelson Oliveira,Movistar Team,4
Einer Rubio,Movistar Team,7
Filippo Zana,Soudal Quick-Step,6
Jasper Stuyven,Soudal Quick-Step,6
Paul Magnier,Soudal Quick-Step,8
Mikel Landa,Soudal Quick-Step,8
Darren Rafferty,EF Education - EasyPost,4
Samuele Battistella,EF Education - EasyPost,5
Richard Carapaz,EF Education - EasyPost,9
Michael Valgren,EF Education - EasyPost,5
Corbin Strong,NSN Cycling Team,7
Dion Smith,NSN Cycling Team,4
Nick Schultz,NSN Cycling Team,5
Ethan Vernon,NSN Cycling Team,6
Max Walscheid,Lidl - Trek,5
Derek Gee-West,Lidl - Trek,7
Jonathan Milan,Lidl - Trek,10
Giulio Ciccone,Lidl - Trek,8
Simone Gualdi,Lotto Intermarché,4
Liam Slock,Lotto Intermarché,4
Lennert van Eetvelt,Lotto Intermarché,8
Mathys Rondel,Tudor Pro Cycling Team,4
Marc Hirschi,Tudor Pro Cycling Team,8
Michael Storer,Tudor Pro Cycling Team,6
Wout Poels,Unibet Rose Rockets,6
Dylan Groenewegen,Unibet Rose Rockets,9
Elmar Reinders,Unibet Rose Rockets,4
Anders Skaarseth,Uno-X Mobility,4
Johannes Kulset,Uno-X Mobility,4
Thymen Arensman,INEOS Grenadiers,8
Filippo Ganna,INEOS Grenadiers,8
Francesco Busatto,Alpecin-Premier Tech,5
Kaden Groves,Alpecin-Premier Tech,9
Manuele Tarozzi,Bardiani CSF 7 Saber,4
Filippo Turconi,Bardiani CSF 7 Saber,4
Lorenzo Germani,Groupama - FDJ United,4
David De la Cruz,Pinarello Q36.5 Pro Cycling Team,5
Mirco Maestri,Team Polti VisitMalta,4
